CIG,confidence,cds_confirmed,esiti_found,sources
9615530A5E,MEDIUM,False,respinge sui motivi aggiunti,sentenze
96187771E3,MEDIUM,False,dichiara inammissibile,sentenze
9618939791,HIGH,True,respinge,sentenze
96205297AD,HIGH,True,respinge,ordinanze
9628147640,HIGH,True,respinge,ordinanze
96285670DA,HIGH,True,"dichiara improcedibile, respinge",sentenze
963361783C,MEDIUM,False,respinge,ordinanze
9633844391,HIGH,True,respinge,sentenze
96343694CF,HIGH,True,"respinge, respinge sui motivi aggiunti","ordinanze, sentenze"
9634955863,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9634974811,MEDIUM,False,respinge sui motivi aggiunti,sentenze
96349861FA,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9634998BDE,MEDIUM,False,respinge sui motivi aggiunti,sentenze
96350094F4,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9635021ED8,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9635343893,HIGH,True,respinge,sentenze
9637714D2E,HIGH,True,respinge,sentenze
9638259EED,MEDIUM,False,respinge,sentenze
963847947D,HIGH,True,respinge,sentenze
9640449E2C,MEDIUM,False,respinge,sentenze
96411682D3,HIGH,True,respinge,ordinanze
9642000E19,MEDIUM,False,respinge,sentenze
9644000091,HIGH,True,respinge,sentenze
9644637E38,MEDIUM,False,respinge,sentenze
9644865A60,MEDIUM,False,respinge,sentenze
96474553B8,MEDIUM,False,dichiara irricevibile,sentenze
96479181CD,MEDIUM,False,respinge,sentenze
965186179A,MEDIUM,False,dichiara inammissibile,sentenze
96531027C4,MEDIUM,False,dichiara estinto,sentenze
96540516E8,HIGH,True,respinge,sentenze
9654443A64,MEDIUM,False,dichiara inammissibile,sentenze
96545334AB,MEDIUM,False,respinge,ordinanze
9657403511,MEDIUM,False,dichiara improcedibile,sentenze
965786959F,MEDIUM,False,respinge,sentenze
9659818DFA,HIGH,True,respinge,"ordinanze, sentenze"
9660689CC0,MEDIUM,False,dichiara improcedibile,sentenze
9662881DA5,MEDIUM,False,dichiara improcedibile,sentenze
96634860EC,MEDIUM,False,dichiara improcedibile,sentenze
966490109E,HIGH,True,respinge,sentenze
966735273D,MEDIUM,False,respinge,sentenze
9668464CE2,MEDIUM,False,dichiara improcedibile,sentenze
9669588C70,MEDIUM,False,respinge,sentenze
9669607C1E,HIGH,True,"dichiara inammissibile, respinge",sentenze
96699810C4,HIGH,True,respinge,sentenze
9670443E01,MEDIUM,False,respinge sui motivi aggiunti,sentenze
96718295C7,MEDIUM,False,respinge,sentenze
967192442D,MEDIUM,False,respinge,ordinanze
9671925500,MEDIUM,False,respinge,sentenze
96719265D3,MEDIUM,False,respinge,sentenze
96719276A6,MEDIUM,False,respinge,ordinanze
9671928779,HIGH,True,"dichiara improcedibile, respinge",sentenze
967192984C,MEDIUM,False,respinge,sentenze
96743749F9,MEDIUM,False,respinge,sentenze
967456793E,HIGH,True,respinge,sentenze
9677461D71,MEDIUM,False,respinge,sentenze
96780156A0,MEDIUM,False,respinge,sentenze
96801887D7,MEDIUM,False,respinge,sentenze
9681931636,MEDIUM,False,dichiara improcedibile,sentenze
9685620A77,HIGH,True,respinge,sentenze
9686726B2A,HIGH,True,respinge,sentenze
9686748D51,HIGH,True,respinge,ordinanze
968687996D,HIGH,True,respinge,sentenze
96880965BB,HIGH,True,respinge,sentenze
969030764E,MEDIUM,False,respinge,sentenze
96908083BF,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9693032F09,MEDIUM,False,dichiara estinto,sentenze
9694003059,MEDIUM,False,dichiara improcedibile,sentenze
9694050720,MEDIUM,False,dichiara improcedibile,sentenze
96975764E0,MEDIUM,False,respinge,sentenze
97027480F3,HIGH,True,respinge,"ordinanze, sentenze"
9702925303,MEDIUM,False,respinge sui motivi aggiunti,sentenze
970350734B,HIGH,True,respinge,sentenze
9705995873,HIGH,True,respinge,sentenze
