cig,label,score_raw_final,score_calib_final,rank_pct_global,rank_pct_within_U
69597821CC,,0.0080262976408294,0.3440492287345647,44.42,46.2
6959955090,,0.008931839152726,0.3447082569277999,47.93,49.84
739844806F,,0.0090719988065004,0.3448103147338611,48.76,50.7
6972104A39,,0.0097165936621736,0.3452798631774402,53.87,56.01
6943062C01,,0.0090719988065004,0.3448103147338611,48.76,50.7
694090472C,,0.0072257097435849,0.3434670823036559,17.56,18.27
6958212231,,0.00875003213741,0.3445758947656974,46.93,48.8
7188233D83,,0.0097007948161464,0.345268351058685,53.74,55.88
696191412E,,0.0072257097435849,0.3434670823036559,17.56,18.27
7017752028,,0.0072764028702185,0.3435039298165525,36.28,37.73
7019279C43,,0.007995005684266,0.3440264660180543,44.25,46.02
6955688F4E,,0.0072257097435849,0.3434670823036559,17.56,18.27
6918468467,,0.010518386862836,0.3458643424823117,57.71,60.0
68803482C9,,0.1069798723597187,0.4191314743097908,97.02,98.79
6949930FA7,,0.0072257097435849,0.3434670823036559,17.56,18.27
73981266B4,,0.0090719988065004,0.3448103147338611,48.76,50.7
6933103197,,0.0127710405926143,0.3475089370038797,63.78,66.29
69413230F3,,0.0182709167466484,0.3515394846694081,76.27,79.22
7333841D09,,0.0083164547557996,0.3442603318997188,45.76,47.58
6955294A2C,,0.0072257097435849,0.3434670823036559,17.56,18.27
69630678A8,,0.0072257097435849,0.3434670823036559,17.56,18.27
6963105804,,0.0093099541653282,0.344983615640246,51.45,53.5
69611212C6,,0.0072257097435849,0.3434670823036559,17.56,18.27
698174918A,,0.0196758402926884,0.3525725030365493,78.29,81.26
6819479C16,,0.0075247068682385,0.3436844427390861,40.2,41.81
6953031EAE,,0.0072257097435849,0.3434670823036559,17.56,18.27
7001772D07,,0.0090719988065004,0.3448103147338611,48.76,50.7
698865548C,,0.0105250231485389,0.345869182049095,57.76,60.05
6988927502,,0.014065976355369,0.348455982893765,66.66,69.27
6866228E94,,0.0162610075592958,0.3500640451175785,72.03,74.84
6962683BC4,,0.0645464086309846,0.3862465630212895,93.76,96.26
6982910F9C,,0.0072257097435849,0.3434670823036559,17.56,18.27
6996612ADD,,0.014154709329098,0.3485209213427805,66.85,69.47
6976625D11,,0.0175075537837605,0.3509787773009563,75.04,77.95
69475270A7,,0.0072257097435849,0.3434670823036559,17.56,18.27
697035246F,,0.0072257097435849,0.3434670823036559,17.56,18.27
69657563B2,,0.016651569366498,0.350350526322706,73.03,75.89
69657617D1,,0.0072257097435849,0.3434670823036559,17.56,18.27
69278144F7,,0.0076479364327907,0.3437740453808241,42.02,43.69
69946052A5,,0.0083329174527549,0.3442723111428513,45.8,47.63
6962137932,,0.0118883468885144,0.3468640728124571,61.55,63.98
6896057642,,0.0072257097435849,0.3434670823036559,17.56,18.27
6938322471,,0.0100464049724971,0.3455202276408591,55.1,57.29
6972912503,,0.0072257097435849,0.3434670823036559,17.56,18.27
6967153489,,0.0098196924601659,0.345354992460595,54.36,56.53
69552158FB,,0.0176114346445436,0.351055056009039,75.2,78.12
69567793A4,,0.0072257097435849,0.3434670823036559,17.56,18.27
6967145DEC,,0.0076279913857374,0.3437595421900982,41.35,43.0
6974657508,,0.0153529424255105,0.349398388009644,69.8,72.52
73105443C1,,0.0188546422425954,0.3519685208139922,77.26,80.23
69677690E1,,0.0072257097435849,0.3434670823036559,17.56,18.27
6965538FC8,,0.0180019220112882,0.3513418551255773,75.87,78.8
6956870EB9,,0.0129194479739621,0.3476174131101535,64.28,66.82
70287113CE,,0.0077123159972303,0.3438208614523065,43.01,44.73
6960613F8B,,0.0832398090645517,0.400624877226602,95.68,97.72
6961383AF9,,0.1326422469956704,0.4393941608766981,97.7,99.25
6880504385,,0.0120294718934714,0.3469671359778655,61.92,64.37
70065514CB,,0.0129255520092422,0.3476218751001064,64.31,66.84
6866523209,,0.0171688422646058,0.3507301176085476,74.38,77.28
69780114D7,,0.059572607775357,0.3824529526207532,92.97,95.61
6966458700,,0.0104254303926492,0.3457965565545617,57.05,59.31
6984424105,,0.0645369925857922,0.386239368001929,93.75,96.25
6645327950,,0.0989849287073255,0.4128707904440744,96.66,98.52
698574859D,,0.0072257097435849,0.3434670823036559,17.56,18.27
698691262D,,0.0072257097435849,0.3434670823036559,17.56,18.27
6901036310,,0.0072257097435849,0.3434670823036559,17.56,18.27
69512690A6,,0.0072257097435849,0.3434670823036559,17.56,18.27
70380384B0,,0.0072257097435849,0.3434670823036559,17.56,18.27
6596831527,,0.0573285664067764,0.3807460281770862,92.63,95.32
6986284FEC,,0.0102487912307047,0.3456677646065462,55.88,58.1
6983564B50,,0.0072257097435849,0.3434670823036559,17.56,18.27
69878479C2,,0.0086202188497078,0.3444814006926603,46.77,48.64
6981871636,,0.0090698997571206,0.3448087861971736,48.3,50.23
6991368363,,0.0096937817501453,0.345263240917732,53.55,55.68
69733606B6,,0.0072257097435849,0.3434670823036559,17.56,18.27
70270400DB,1.0,0.0072257097435849,0.3434670823036559,17.56,
7013253F72,,0.0091132309981481,0.3448403408420042,50.19,52.2
701409022D,,0.0091132309981481,0.3448403408420042,50.19,52.2
70234752EC,,0.0162840221199171,0.3500809235440249,72.09,74.91
7001579DC2,,0.012196459120309,0.3470891047811643,62.43,64.89
70383641B7,,0.0111965751234335,0.3463590818089772,59.58,61.93
702394137A,,0.0199055111750456,0.3527415079253393,78.53,81.5
7003744861,,0.018285319486468,0.3515500677505139,76.32,79.26
7014919E46,,0.0110562733994212,0.3462567041950471,59.28,61.62
6984383F2B,,0.0530012873784824,0.3774628336213256,91.71,94.44
7004199FD9,,0.0169105565568708,0.3505405557021501,73.76,76.64
702622504C,,0.0074323931903345,0.3436173269360658,39.2,40.76
69800095A4,,0.0075247068682385,0.3436844427390861,40.2,41.81
700102221F,,0.0072257097435849,0.3434670823036559,17.56,18.27
7015732D2F,,0.0150937012397496,0.3492084588170119,69.31,72.02
685826427E,,0.010475364006928,0.3458329684793793,57.21,59.48
7019688DC7,,0.0467744340313854,0.3727581208422094,90.51,93.32
700094743A,,0.0072257097435849,0.3434670823036559,17.56,18.27
694687783F,,0.0668228226074435,0.3879874752476889,94.08,96.52
7002493008,,0.0089852810897366,0.3447471691969052,48.09,50.02
7007724CC6,,0.0072257097435849,0.3434670823036559,17.56,18.27
7006675B1D,,0.0090719988065004,0.3448103147338611,48.76,50.7
7011862392,,0.0072257097435849,0.3434670823036559,17.56,18.27
6996617EFC,,0.007467480492062,0.3436428360975216,39.92,41.52
7023039B1D,,0.0076479364327907,0.3437740453808241,42.02,43.69
69762149E7,,0.0085049322547989,0.3443974912429182,46.29,48.14
7018118E2C,,0.0072257097435849,0.3434670823036559,17.56,18.27
6895169974,,0.007467480492062,0.3436428360975216,39.92,41.52
6919698B6C,,0.0072257097435849,0.3434670823036559,17.56,18.27
70070321BB,,0.0148160657469835,0.3490051063826988,68.6,71.28
70147746A0,,0.0096499484765188,0.3452313021728577,53.15,55.26
702939476E,,0.0187407965506575,0.3518848258555728,77.1,80.06
69673696C8,,0.0476424563086063,0.3734125366151148,90.71,93.52
6998208FEB,,0.0072764028702185,0.3435039298165525,36.28,37.73
699142526D,,0.0072257097435849,0.3434670823036559,17.56,18.27
6996162784,,0.0543682402309608,0.378498770339594,91.99,94.72
702174601C,,0.0120681284030264,0.3469953692142434,62.03,64.48
7010614DAD,,0.0088093999861186,0.3446191140824696,47.19,49.07
6991702702,,0.0120884364515768,0.3470102018676841,62.08,64.53
69969734C7,,0.0077841420210785,0.3438730960840646,43.56,45.3
70046915DF,,0.0206901091156143,0.3533191374639934,79.43,82.42
7028357FA9,,0.0072257097435849,0.3434670823036559,17.56,18.27
70001713DA,,0.0382399608165161,0.3663489710529934,88.36,91.23
7012601569,,0.0083205566049678,0.3442633166320332,45.77,47.6
7009931A0D,,0.0136815039253862,0.348174675177385,65.87,68.46
7014766008,,0.0090719988065004,0.3448103147338611,48.76,50.7
